"install
No.";School Name (Arabic);Latitude†;Longitude†;SEC Meter Serial ;SEC Meter Number ;Voltage Level (220/110V);"Breaker
Capacity (A)";"Approx Length
 (Roof to Elec room)";Haris / Manager Contact;Ready to install (Yes/No);Comment ;location
122;«·√œ—Ì”Ì;26.3647;43.8622;KFM2120660266856;10083305992;380V/3PH;1600A/1250A;;;;;https://maps.google.com/maps?q=26.3647 43.8622
123;«·√„Ì— ⁄»œ«·«·Â »‰ ⁄»œ«·⁄“Ì“;26.363;43.9282;KFM2020660194802;10041848957;;;;;;;https://maps.google.com/maps?q=26.363 43.9282
124;⁄„— »‰ ⁄»œ«·⁄“Ì“;26.3968;43.8569;KFM2020660204800;10041286632;220V/3PH;500A;;;;;https://maps.google.com/maps?q=26.3968 43.8569
125;À«‰ÊÌ… «·—Ì«‰ „ﬁ——« ;26.4068;43.9146;KFM2120660238426;30056205632;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.4068 43.9146
126;À«‰ÊÌ… „Ã„⁄ ’«·Õ »‰ ⁄·Ì «·⁄ÀÌ„;26.4273;43.8833;MMF2420601017212;10106559258;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.4273 43.8833
127;„ Ê”ÿ… „Ã„⁄ ’«·Õ »‰ ⁄·Ì «·⁄ÀÌ„;26.4273;43.8833;MMF2420601017209;10106559267;N/A;N/A;;;;;https://maps.google.com/maps?q=26.4273 43.8833
128;„œ—”… «·√„Ì— ›Ì’· »‰ „‘⁄· »‰ ”⁄Êœ «·À«‰ÊÌ… - „”«—« ;26.3742;43.9243;SMR2220661012006;10104426010;220V/3PH;1600A/2000A;;;;;https://maps.google.com/maps?q=26.3742 43.9243
129;«» œ«∆Ì… √»Ì »‰ ﬂ⁄» «·√‰’«—Ì · Õ›ÌŸ «·ﬁ—¬‰ «·ﬂ—Ì„;26.33;44.01;KFM2020660194389;10041960518;;;;;;;https://maps.google.com/maps?q=26.33 44.01
130;«» œ«∆Ì… «·≈„«„ «»Ì Õ‰Ì›…;26.3319;44.0217;KFM2120660265821;10041180741;;;;;;;https://maps.google.com/maps?q=26.3319 44.0217
131;«» œ«∆Ì… «·ÂœÌ…;26.3857;44.063;KFM2120660284107;10041648061;;;;;;;https://maps.google.com/maps?q=26.3857 44.063
132;«» œ«∆Ì… √»Ê»ﬂ— «·’œÌﬁ - ⁄Êﬁ ⁄ﬁ·Ì ;26.3084;44.0466;KFM2020660194267;10041275101;220V/3PH;600A;;;;;https://maps.google.com/maps?q=26.3084 44.0466
133;«» œ«∆Ì… Œ»«» »‰ «·√— ;26.3049;44.0254;KFM2120660300986;10041737519;;;;;;;https://maps.google.com/maps?q=26.3049 44.0254
134;«» œ«∆Ì… ”ÂÌ· »‰ ⁄„—Ê;26.324;44.0427;KFM2120660301070;10082602974;;;;;;;https://maps.google.com/maps?q=26.324 44.0427
135;«» œ«∆Ì… ›·”ÿÌ‰;26.3696;43.9989;KFM2120660303892;10083812831;380V/3PH;150m;;;;;https://maps.google.com/maps?q=26.3696 43.9989
136;À«‰ÊÌ… «»‰ —‘œ - „”«—« ;26.3489;43.9904;KFM2020660205314;10041511816;380V/3PH;55m;;;;;https://maps.google.com/maps?q=26.3489 43.9904
137;À«‰ÊÌ… «·«„Ì— ›Ì’· »‰ ›Âœ - „”«—« ;26.3377;44.0177;KFM2120660282791;10041853563;;;;;;;https://maps.google.com/maps?q=26.3377 44.0177
138;À«‰ÊÌ… «·Êÿ‰ - „”«—« ;26.3001;44.0175;KFM2120660304270;10101830521;;;;;;;https://maps.google.com/maps?q=26.3001 44.0175
139;À«‰ÊÌ… »—Ìœ… - ⁄Êﬁ ⁄ﬁ·Ì ;26.3277;43.9856;KFM2120660301899;10041228479;380V/3PH;40m;;;;;https://maps.google.com/maps?q=26.3277 43.9856
140;„ Ê”ÿ… «»‰ ﬁœ«„…;26.3201;43.9952;KFM2120660273103;10041228595;;;;;;;https://maps.google.com/maps?q=26.3201 43.9952
141;„ Ê”ÿ… «·«Õ‰› »‰ ﬁÌ”;26.3341;44.0002;KFM2120660236019;10041231803;380V/3PH;100m;;;;;https://maps.google.com/maps?q=26.3341 44.0002
142;„ Ê”ÿ… «·‘ÌŒ ⁄»œ«·⁄“Ì“ »‰ »«“;26.3117;44.0544;KFM2120660248041;10041532271;220V/3PH;80m;;;;;https://maps.google.com/maps?q=26.3117 44.0544
143;«» œ«∆Ì… ”Â· »‰ «·—»Ì⁄;26.3845;43.9802;KFM2020660194780;10041711906;;;;;;;https://maps.google.com/maps?q=26.3845 43.9802
144;„ Ê”ÿ… «·«„«„ „Õ„œ »‰ ”⁄Êœ;26.3701;43.9687;KFM2020660194771;10041660075;;;;;;;https://maps.google.com/maps?q=26.3701 43.9687
145;«» œ«∆Ì… «»‰ „«Ã…;26.384;43.9705;KFM2020660205354;10041824623;220V/3PH;80m;;;;;https://maps.google.com/maps?q=26.384 43.9705
146;„œ—”… «·„ ‰»Ì «·À«‰ÊÌ… ;;;KFM2120660235937;10041810646;;;;;;;
147;«» œ«∆Ì… «·¬„œÌ;26.387;43.989;KFM2120660244797;10041830569;;;;;;;https://maps.google.com/maps?q=26.387 43.989
148;„Ã„⁄ «·Œ·ÌÃ «· ⁄·Ì„Ì «·ﬁ”„ «·„ Ê”ÿ;26.3081;43.9691;KFM2120660274301;10041684685;380V/3PH;2000A;;;;;https://maps.google.com/maps?q=26.3081 43.9691
149;«» œ«∆Ì… «·⁄ÃÌ»…;26.3284;43.9668;KFM2020660194527;10041472478;220V/3PH;2000A;;;;;https://maps.google.com/maps?q=26.3284 43.9668
150;«» œ«∆Ì… —Ê«ﬁ;26.2732;44.0043;SMR2220661019175;10041305925;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.2732 44.0043
151;«» œ«∆Ì… «·‘ÌŒ „Õ„œ »‰ ⁄ÀÌ„Ì‰ · Õ›ÌŸ «·ﬁ—¬‰ «·ﬂ—Ì„;26.3413;43.961;KFM2020660194297;10041717409;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3413 43.961
152;„—ﬂ“ «·‘ÌŒ „Õ„œ »‰ «»—«ÂÌ„ ·· ⁄·Ì„ «·„” „—;26.2876;43.9976;KFM2120660274539;10040976522;380V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.2876 43.9976
153;À«‰ÊÌ… √»Ì √ÌÊ» «·√‰’«—Ì »»—Ìœ… - „”«—« ;26.3376;43.9767;KFM2020660204809;10041262363;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3376 43.9767
154;À«‰ÊÌ… Ê·Ì «·⁄Âœ - „”«—« ;26.3536;43.9653;KFM2020660230416;10041170477;380V/3PH;1000A/1200A;;;;;https://maps.google.com/maps?q=26.3536 43.9653
155;«» œ«∆Ì… ÿ«—ﬁ »‰ “Ì«œ;26.3346;43.9649;KFM2020660204570;10041515673;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3346 43.9649
156;„ Ê”ÿ… «»‰ ﬂÀÌ— ;26.3144;43.9785;KFM2020660194483;10041377719;N/A;1200A;;;;;https://maps.google.com/maps?q=26.3144 43.9785
157;À«‰ÊÌ… «·ﬁÌ—Ê«‰ - „”«—« ;26.3961;43.9376;KFM2020660193849;10082579811;380V/3PH;1600A/1000A;;;;;https://maps.google.com/maps?q=26.3961 43.9376
158;⁄Êﬁ ⁄ﬁ·Ì - «» œ«∆Ì… „⁄Âœ «· —»Ì… «·›ﬂ—Ì… ‘„«·;26.3661;43.9404;KFM2020660187232;10041492962;220V/3PH;2000A/1600A;;;;;https://maps.google.com/maps?q=26.3661 43.9404
159;«» œ«∆Ì… «»‰ ⁄ﬁÌ·;26.3612;43.9375;KFM2120660265790;10041900190;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3612 43.9375
160;À«‰ÊÌ… „Ã„⁄ «·√„Ì— ”·ÿ«‰ - „”«—« ;26.3628;43.9437;KFM2020660194807;10041348056;380V/3PH;1600A/2000A;;;;;https://maps.google.com/maps?q=26.3628 43.9437
161;„Ã„⁄ «·√„Ì— ”·ÿ«‰ - «·ﬁ”„ „ Ê”ÿ…;26.3617;43.9436;KFM2020660194808;10041347809;380V/3PH;2000A/1600A;;;;;https://maps.google.com/maps?q=26.3617 43.9436
162;À«‰ÊÌ… «·√ﬁ’Ï - „”«—« ;26.3734;43.9342;KFM2020660019933;10041580608;;;;;;;https://maps.google.com/maps?q=26.3734 43.9342
163;«» œ«∆Ì… «·„⁄—›… ›Ì »—Ìœ…;26.4057;43.9306;KFM2020660194355;10085138141;380V/3PH;1600A/1000A;;;;;https://maps.google.com/maps?q=26.4057 43.9306
164; Õ›ÌŸ «» œ«∆Ì… «·‘ÌŒ ⁄»œ «·—Õ„‰ »‰ ⁄»œ«··Â »‰ ›—Ì«‰;26.2975;43.9457;KFM2020660187271;10041773201;N/A;N/A;;;;;https://maps.google.com/maps?q=26.2975 43.9457
165;À«‰ÊÌ… ⁄„—Ê »‰ «·⁄«’ - „”«—« ;26.3807;43.8589;SMR2320661035056;10041344647;220V/3PH;1600A/1000A;;;;;https://maps.google.com/maps?q=26.3807 43.8589
166;«» œ«∆Ì… «·› Õ «·—«∆œ… ›Ì »—Ìœ…;26.3169;44.0414;KFM2020660194687;10041277016;380V/3PH;1000A;;;;;https://maps.google.com/maps?q=26.3169 44.0414
167;«» œ«∆Ì…  «·≈„«„ «·”ÌÊÿÌ;26.3592;43.9513;KFM2020660194600;10082971978;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3592 43.9513
168;„ Ê”ÿ…  ﬁ «œ… »‰ «·‰⁄„«‰;26.3794;43.95;KFM2120660268565;10041960429;220V/3PH;2500A/2000A;;;;;https://maps.google.com/maps?q=26.3794 43.95
169;„ Ê”ÿ… «»‰ ⁄»œ«·»—;26.3621;43.9544;KFM2020660204545;10041634914;220V/3PH;400A;;;;;https://maps.google.com/maps?q=26.3621 43.9544
170;«» œ«∆Ì… √Õœ;26.4119;43.9184;KFM2020660194530;10041312993;380V/3PH;1600A/1000A;;;;;https://maps.google.com/maps?q=26.4119 43.9184
171;À„«„… »‰ ⁄œÌ ;26.3984;43.9281;SMR2220661013332;10041338908;380V/3PH;1600A/2000A;;;;;https://maps.google.com/maps?q=26.3984 43.9281
172; «·ÿ›Ì· »‰ ⁄„—Ê;26.3627;43.9547;KFM2120660301426;10041839199;380V/3PH;2000A/1250A;;;;;https://maps.google.com/maps?q=26.3627 43.9547
173;«» œ«∆Ì… „Õ„œ »‰ ”Ì—Ì‰;26.3229;43.9634;KFM2120660248043;10089311333;380V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3229 43.9634
174;À«‰ÊÌ… «·—«“Ì - „”«—« ;26.3092;44.0495;KFM2020660194306;10041501622;220V/3PH;1600A/2000A;;;;;https://maps.google.com/maps?q=26.3092 44.0495
175;„ Ê”ÿ… «·«„«„ «· —„–Ì;26.3314;44.0218;KFM2120660250145;10041806948;220V/3PH;1600A;;;;;https://maps.google.com/maps?q=26.3314 44.0218
176;À«‰ÊÌ… «·„·ﬂ ⁄»œ «·⁄“Ì“ - „”«—« ;26.3694;43.9684;KFM2020660194777;10041172257;220V/3PH;3200A;;;;;https://maps.app.goo.gl/mwocctFrQQeQg37t5
177;À«‰ÊÌ… «·‰Ã«‘Ì - „”«—« ;26.3648;43.9505;KFM2020660204541;10041285081;220V/3PH;2500A/1250A;;;;;https://maps.app.goo.gl/7mAmMCbmw87JEe729
178;„œ—”… √„Ì„… »‰ «·Œÿ«» ··ÿ›Ê·… «·„ﬂ»—… »»—Ìœ… - »‰« ;;;SMR2220661003582;10104659998;;;;;;;
179;„Ã„⁄ «·Œ·ÌÃ «· ⁄·Ì„Ì - «·ﬁ”„ «·À«‰ÊÌ »»—Ìœ…  - »‰Ì‰;;;KFM2120660274296;10041684569;;;;;;;
180;„œ—”… ”·„Ï »‰  ’Œ— ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ…  - »‰« ;;;KFM2020660194809;10041347925;;;;;;;
181;«·«» œ«∆Ì… «·”«»⁄… Ê«· ”⁄Ê‰ »»—Ìœ… - »‰« ;;;KFM2020660195607;10041898289;;;;;;;
182;«·À«‰ÊÌ… «·”«œ”… ⁄‘— »»—Ìœ…  - »‰« ;;;KFM2020660204860;10041535934;;;;;;;
183;«·«» œ«∆Ì… «·”»⁄Ê‰ »»—Ìœ… - »‰« ;;;KFM2120660303667;10098869591;;;;;;;
184;„ Ê”ÿ… «·„Ì·œ«¡  »»—Ìœ… - »‰« ;;;KFM2020660204679;10041773328;;;;;;;
185;«·„ Ê”ÿ… «·”«œ”… ⁄‘—… »»—Ìœ… - »‰« ;;;KFM2020660194929;10041799496;;;;;;;
186;«·«» œ«∆Ì… «·”«œ”… Ê«·” Ê‰ »»—Ìœ… - »‰« ;;;KFM2020660194303;10041637710;;;;;;;
187;„œ—”… «·‘„«” ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ… - »‰« ;;;KFM2120660265199;10088484671;;;;;;;
188;«·À«‰ÊÌ… «·À«„‰… »»—Ìœ… - »‰« ;;;KFM2120660274343;10041996001;;;;;;;
189;«·„ Ê”ÿ… «·”«»⁄… «·⁄‘—Ê‰ »»—Ìœ…  - »‰« ;;;KFM2120660274335;10041996065;;;;;;;
190;«·„ Ê”ÿ… «·Õ«œÌ… ⁄‘— »„Õ«›Ÿ… »—Ìœ… - »‰« ;;;KFM2120660236021;10041181864;;;;;;;
191;«·«» œ«∆Ì… «·Œ«„”… ⁄‘—  »»—Ìœ… - »‰« ;;;KFM2020660194827;10041225092;;;;;;;
192;«·„ Ê”ÿ… «·À«„‰… Ê «·√—»⁄Ê‰ »»—Ìœ… - »‰« ;;;KFM2120660235945;10041529820;;;;;;;
193;«·„ Ê”ÿ… «·À«·À… »»—Ìœ… - »‰« ;;;KFM2020660194592;10041989614;;;;;;;
194;„œ—”… √„«„… »‰  Õ„“… ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ… - »‰« ;;;KFM2120660238629;10082622091;;;;;;;
195;«·À«‰ÊÌ… «·À«„‰… Ê«·⁄‘—Ê‰ - „”«—«  - »‰« ;;;KFM2120660247227;10041568372;;;;;;;
196;„œ—”… Õ”‰«¡ »‰  „⁄«ÊÌ… ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ… - »‰« ;;;KFM2020660204858;10041406445;;;;;;;
197;«·„ Ê”ÿ… «· «”⁄… »»—Ìœ… - »‰« ;;;KFM2120660238626;10082616773;;;;;;;
198;„œ—”… —ﬁÌ… »‰  ⁄„— »‰ «·Œÿ«» ··ÿ›Ê·… «·„»ﬂ—… »»—Ìœ… - »‰« ;;;KFM2020660196042;10041403461;;;;;;;
199;«·«» œ«∆Ì… «· «”⁄… · Õ›ÌŸ «·ﬁ—«‰ »»—Ìœ… - »‰« ;;;KFM2020660195604;10041498920;;;;;;;
200;«·„ Ê”ÿ… «·”«œ”… · Õ›ÌŸ «·ﬁ—¬‰ «·ﬂ—Ì„ »»—Ìœ… - »‰« ;;;KFM2020660196167;10090561651;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
